parameter_server-1  | [Parameter Server] Starting on port 12345 (Hybrid Mode)
worker1_stage2-1    | [Stage2 Group 1] Syncing after 23000 images (sync #23), avg_loss=0.245298
worker1_stage2-1    | [Worker 1] Sent 3000 OUTPUT weights in 0.069ms
worker1_stage2-1    | [Worker 1] Received 3000 OUTPUT center weights in 0.136ms
worker1_stage2-1    | [Worker 1] OUTPUT sync completed in 0.822ms
worker1_stage2-1    | [Stage2 Group 1] Successfully synced weights
worker1_stage2-1    | [Stage2 Group 1] Processed 23000 images
parameter_server-1  | [Parameter Server] Worker connected (request #92)
parameter_server-1  | [Parameter Server] Received 235200 HIDDEN weights from worker 1 in 6.406ms
parameter_server-1  | [Parameter Server] Updated HIDDEN elastic center in 16.274ms
parameter_server-1  | [Parameter Server] Sent 235200 HIDDEN center weights to worker 1 in 1.999ms
parameter_server-1  | [Parameter Server] Request #92 (HIDDEN) processed in 27.203ms
worker1_stage1-1    | [Stage1 Group 1] Syncing after 23000 images (sync #23)
worker1_stage1-1    | [Worker 1] Sent 235200 HIDDEN weights in 5.794ms
worker1_stage1-1    | [Worker 1] Received 235200 HIDDEN center weights in 1.908ms
worker1_stage1-1    | [Worker 1] HIDDEN sync completed in 27.994ms
worker1_stage1-1    | [Stage1 Group 1] Successfully synced weights
worker1_stage1-1    | [Stage1 Group 1] Processed 23000 images
parameter_server-1  | [Parameter Server] Waiting for worker connection...
parameter_server-1  | [Parameter Server] Worker connected (request #93)
parameter_server-1  | [Parameter Server] Received 3000 OUTPUT weights from worker 2 in 0.009ms
parameter_server-1  | [Parameter Server] Updated OUTPUT elastic center in 0.158ms
parameter_server-1  | [Parameter Server] Sent 3000 OUTPUT center weights to worker 2 in 0.312ms
parameter_server-1  | [Parameter Server] Request #93 (OUTPUT) processed in 0.732ms
parameter_server-1  | [Parameter Server] Waiting for worker connection...
worker2_stage2-1    | [Stage2 Group 2] Syncing after 24000 images (sync #24), avg_loss=0.245159
worker2_stage2-1    | [Worker 2] Sent 3000 OUTPUT weights in 0.060ms
worker2_stage2-1    | [Worker 2] Received 3000 OUTPUT center weights in 0.347ms
worker2_stage2-1    | [Worker 2] OUTPUT sync completed in 1.174ms
worker2_stage2-1    | [Stage2 Group 2] Successfully synced weights
worker2_stage2-1    | [Stage2 Group 2] Processed 24000 images
parameter_server-1  | [Parameter Server] Worker connected (request #94)
parameter_server-1  | [Parameter Server] Received 235200 HIDDEN weights from worker 2 in 4.862ms
parameter_server-1  | [Parameter Server] Updated HIDDEN elastic center in 17.279ms
parameter_server-1  | [Parameter Server] Sent 235200 HIDDEN center weights to worker 2 in 2.395ms
parameter_server-1  | [Parameter Server] Request #94 (HIDDEN) processed in 27.394ms
parameter_server-1  | [Parameter Server] Waiting for worker connection...
worker2_stage1-1    | [Stage1 Group 2] Syncing after 24000 images (sync #24)
worker2_stage1-1    | [Worker 2] Sent 235200 HIDDEN weights in 4.632ms
worker2_stage1-1    | [Worker 2] Received 235200 HIDDEN center weights in 2.176ms
worker2_stage1-1    | [Worker 2] HIDDEN sync completed in 27.855ms
worker2_stage1-1    | [Stage1 Group 2] Successfully synced weights
worker2_stage1-1    | [Stage1 Group 2] Processed 24000 images
parameter_server-1  | [Parameter Server] Worker connected (request #95)
parameter_server-1  | [Parameter Server] Received 3000 OUTPUT weights from worker 1 in 0.013ms
parameter_server-1  | [Parameter Server] Updated OUTPUT elastic center in 0.185ms
parameter_server-1  | [Parameter Server] Sent 3000 OUTPUT center weights to worker 1 in 0.325ms
parameter_server-1  | [Parameter Server] Request #95 (OUTPUT) processed in 0.669ms
parameter_server-1  | [Parameter Server] Waiting for worker connection...
worker1_stage2-1    | [Stage2 Group 1] Syncing after 24000 images (sync #24), avg_loss=0.245328
worker1_stage2-1    | [Worker 1] Sent 3000 OUTPUT weights in 0.061ms
worker1_stage2-1    | [Worker 1] Received 3000 OUTPUT center weights in 0.185ms
worker1_stage2-1    | [Worker 1] OUTPUT sync completed in 0.940ms
worker1_stage2-1    | [Stage2 Group 1] Successfully synced weights
worker1_stage2-1    | [Stage2 Group 1] Processed 24000 images
parameter_server-1  | [Parameter Server] Worker connected (request #96)
parameter_server-1  | [Parameter Server] Received 235200 HIDDEN weights from worker 1 in 2.486ms
parameter_server-1  | [Parameter Server] Updated HIDDEN elastic center in 15.683ms
parameter_server-1  | [Parameter Server] Sent 235200 HIDDEN center weights to worker 1 in 3.086ms
parameter_server-1  | [Parameter Server] Request #96 (HIDDEN) processed in 26.400ms
parameter_server-1  | [Parameter Server] Waiting for worker connection...
worker1_stage1-1    | [Stage1 Group 1] Syncing after 24000 images (sync #24)
worker1_stage1-1    | [Worker 1] Sent 235200 HIDDEN weights in 2.035ms
worker1_stage1-1    | [Worker 1] Received 235200 HIDDEN center weights in 3.360ms
worker1_stage1-1    | [Worker 1] HIDDEN sync completed in 26.876ms
worker1_stage1-1    | [Stage1 Group 1] Successfully synced weights
worker1_stage1-1    | [Stage1 Group 1] Processed 24000 images
worker2_stage2-1    | [Stage2 Group 2] Syncing after 25000 images (sync #25), avg_loss=0.245735
worker2_stage2-1    | [Worker 2] Sent 3000 OUTPUT weights in 0.089ms
worker2_stage2-1    | [Worker 2] Received 3000 OUTPUT center weights in 0.280ms
worker2_stage2-1    | [Worker 2] OUTPUT sync completed in 1.469ms
worker2_stage2-1    | [Stage2 Group 2] Successfully synced weights
worker2_stage2-1    | [Stage2 Group 2] Processed 25000 images
parameter_server-1  | [Parameter Server] Worker connected (request #97)
parameter_server-1  | [Parameter Server] Received 3000 OUTPUT weights from worker 2 in 0.012ms
parameter_server-1  | [Parameter Server] Updated OUTPUT elastic center in 0.216ms
parameter_server-1  | [Parameter Server] Sent 3000 OUTPUT center weights to worker 2 in 0.452ms
parameter_server-1  | [Parameter Server] Request #97 (OUTPUT) processed in 0.958ms
parameter_server-1  | [Parameter Server] Waiting for worker connection...
parameter_server-1  | [Parameter Server] Worker connected (request #98)
parameter_server-1  | [Parameter Server] Received 235200 HIDDEN weights from worker 2 in 2.820ms
parameter_server-1  | [Parameter Server] Updated HIDDEN elastic center in 21.800ms
worker2_stage1-1    | [Stage1 Group 2] Syncing after 25000 images (sync #25)
worker2_stage1-1    | [Worker 2] Sent 235200 HIDDEN weights in 2.675ms
parameter_server-1  | [Parameter Server] Sent 235200 HIDDEN center weights to worker 2 in 5.162ms
parameter_server-1  | [Parameter Server] Request #98 (HIDDEN) processed in 33.955ms
parameter_server-1  | [Parameter Server] Waiting for worker connection...
worker2_stage1-1    | [Worker 2] Received 235200 HIDDEN center weights in 5.602ms
worker2_stage1-1    | [Worker 2] HIDDEN sync completed in 35.371ms
worker2_stage1-1    | [Stage1 Group 2] Successfully synced weights
worker2_stage1-1    | [Stage1 Group 2] Processed 25000 images
parameter_server-1  | [Parameter Server] Worker connected (request #99)
parameter_server-1  | [Parameter Server] Received 3000 OUTPUT weights from worker 1 in 0.012ms
parameter_server-1  | [Parameter Server] Updated OUTPUT elastic center in 1.059ms
worker1_stage2-1    | [Stage2 Group 1] Syncing after 25000 images (sync #25), avg_loss=0.245680
worker1_stage2-1    | [Worker 1] Sent 3000 OUTPUT weights in 0.051ms
worker1_stage2-1    | [Worker 1] Received 3000 OUTPUT center weights in 0.257ms
worker1_stage2-1    | [Worker 1] OUTPUT sync completed in 1.912ms
worker1_stage2-1    | [Stage2 Group 1] Successfully synced weights
worker1_stage2-1    | [Stage2 Group 1] Processed 25000 images
parameter_server-1  | [Parameter Server] Sent 3000 OUTPUT center weights to worker 1 in 0.350ms
parameter_server-1  | [Parameter Server] Request #99 (OUTPUT) processed in 1.623ms
parameter_server-1  | [Parameter Server] Waiting for worker connection...
parameter_server-1  | [Parameter Server] Worker connected (request #100)
parameter_server-1  | [Parameter Server] Received 235200 HIDDEN weights from worker 1 in 2.282ms
parameter_server-1  | [Parameter Server] Updated HIDDEN elastic center in 24.761ms
parameter_server-1  | [Parameter Server] Sent 235200 HIDDEN center weights to worker 1 in 3.095ms
parameter_server-1  | [Parameter Server] Request #100 (HIDDEN) processed in 34.788ms
parameter_server-1  | [Parameter Server] === Processed 100 total requests ===
parameter_server-1  | [Parameter Server] Waiting for worker connection...
worker1_stage1-1    | [Stage1 Group 1] Syncing after 25000 images (sync #25)
worker1_stage1-1    | [Worker 1] Sent 235200 HIDDEN weights in 1.495ms
worker1_stage1-1    | [Worker 1] Received 235200 HIDDEN center weights in 2.721ms
worker1_stage1-1    | [Worker 1] HIDDEN sync completed in 35.453ms
worker1_stage1-1    | [Stage1 Group 1] Successfully synced weights
worker1_stage1-1    | [Stage1 Group 1] Processed 25000 images
parameter_server-1  | [Parameter Server] Worker connected (request #101)
parameter_server-1  | [Parameter Server] Received 3000 OUTPUT weights from worker 2 in 0.239ms
parameter_server-1  | [Parameter Server] Updated OUTPUT elastic center in 0.194ms
worker2_stage2-1    | [Stage2 Group 2] Syncing after 26000 images (sync #26), avg_loss=0.246902
worker2_stage2-1    | [Worker 2] Sent 3000 OUTPUT weights in 0.235ms
worker2_stage2-1    | [Worker 2] Received 3000 OUTPUT center weights in 0.014ms
worker2_stage2-1    | [Worker 2] OUTPUT sync completed in 1.370ms
worker2_stage2-1    | [Stage2 Group 2] Successfully synced weights
worker2_stage2-1    | [Stage2 Group 2] Processed 26000 images
parameter_server-1  | [Parameter Server] Sent 3000 OUTPUT center weights to worker 2 in 0.228ms
parameter_server-1  | [Parameter Server] Request #101 (OUTPUT) processed in 0.894ms
parameter_server-1  | [Parameter Server] Waiting for worker connection...
parameter_server-1  | [Parameter Server] Worker connected (request #102)
parameter_server-1  | [Parameter Server] Received 235200 HIDDEN weights from worker 2 in 4.781ms
parameter_server-1  | [Parameter Server] Updated HIDDEN elastic center in 18.109ms
worker2_stage1-1    | [Stage1 Group 2] Syncing after 26000 images (sync #26)
worker2_stage1-1    | [Worker 2] Sent 235200 HIDDEN weights in 4.299ms
worker2_stage1-1    | [Worker 2] Received 235200 HIDDEN center weights in 1.227ms
worker2_stage1-1    | [Worker 2] HIDDEN sync completed in 30.221ms
worker2_stage1-1    | [Stage1 Group 2] Successfully synced weights
worker2_stage1-1    | [Stage1 Group 2] Processed 26000 images
parameter_server-1  | [Parameter Server] Sent 235200 HIDDEN center weights to worker 2 in 4.641ms
parameter_server-1  | [Parameter Server] Request #102 (HIDDEN) processed in 29.816ms
parameter_server-1  | [Parameter Server] Waiting for worker connection...
parameter_server-1  | [Parameter Server] Worker connected (request #103)
parameter_server-1  | [Parameter Server] Received 3000 OUTPUT weights from worker 1 in 0.016ms
worker1_stage2-1    | [Stage2 Group 1] Syncing after 26000 images (sync #26), avg_loss=0.245817
worker1_stage2-1    | [Worker 1] Sent 3000 OUTPUT weights in 0.082ms
worker1_stage2-1    | [Worker 1] Received 3000 OUTPUT center weights in 0.102ms
worker1_stage2-1    | [Worker 1] OUTPUT sync completed in 1.162ms
worker1_stage2-1    | [Stage2 Group 1] Successfully synced weights
worker1_stage2-1    | [Stage2 Group 1] Processed 26000 images
parameter_server-1  | [Parameter Server] Updated OUTPUT elastic center in 0.239ms
parameter_server-1  | [Parameter Server] Sent 3000 OUTPUT center weights to worker 1 in 0.337ms
parameter_server-1  | [Parameter Server] Request #103 (OUTPUT) processed in 0.858ms
parameter_server-1  | [Parameter Server] Waiting for worker connection...
parameter_server-1  | [Parameter Server] Worker connected (request #104)
parameter_server-1  | [Parameter Server] Received 235200 HIDDEN weights from worker 1 in 2.264ms
parameter_server-1  | [Parameter Server] Updated HIDDEN elastic center in 22.532ms
parameter_server-1  | [Parameter Server] Sent 235200 HIDDEN center weights to worker 1 in 3.912ms
worker1_stage1-1    | [Stage1 Group 1] Syncing after 26000 images (sync #26)
worker1_stage1-1    | [Worker 1] Sent 235200 HIDDEN weights in 9.227ms
worker1_stage1-1    | [Worker 1] Received 235200 HIDDEN center weights in 2.628ms
worker1_stage1-1    | [Worker 1] HIDDEN sync completed in 40.744ms
worker1_stage1-1    | [Stage1 Group 1] Successfully synced weights
worker1_stage1-1    | [Stage1 Group 1] Processed 26000 images
parameter_server-1  | [Parameter Server] Request #104 (HIDDEN) processed in 32.728ms
parameter_server-1  | [Parameter Server] Waiting for worker connection...
parameter_server-1  | [Parameter Server] Worker connected (request #105)
parameter_server-1  | [Parameter Server] Received 3000 OUTPUT weights from worker 2 in 0.170ms
parameter_server-1  | [Parameter Server] Updated OUTPUT elastic center in 0.200ms
parameter_server-1  | [Parameter Server] Sent 3000 OUTPUT center weights to worker 2 in 0.176ms
parameter_server-1  | [Parameter Server] Request #105 (OUTPUT) processed in 0.754ms
parameter_server-1  | [Parameter Server] Waiting for worker connection...
worker2_stage2-1    | [Stage2 Group 2] Syncing after 27000 images (sync #27), avg_loss=0.244857
worker2_stage2-1    | [Worker 2] Sent 3000 OUTPUT weights in 0.210ms
worker2_stage2-1    | [Worker 2] Received 3000 OUTPUT center weights in 0.009ms
worker2_stage2-1    | [Worker 2] OUTPUT sync completed in 1.036ms
worker2_stage2-1    | [Stage2 Group 2] Successfully synced weights
worker2_stage2-1    | [Stage2 Group 2] Processed 27000 images
parameter_server-1  | [Parameter Server] Worker connected (request #106)
parameter_server-1  | [Parameter Server] Received 235200 HIDDEN weights from worker 2 in 5.272ms
parameter_server-1  | [Parameter Server] Updated HIDDEN elastic center in 21.575ms
worker2_stage1-1    | [Stage1 Group 2] Syncing after 27000 images (sync #27)
worker2_stage1-1    | [Worker 2] Sent 235200 HIDDEN weights in 4.050ms
worker2_stage1-1    | [Worker 2] Received 235200 HIDDEN center weights in 4.348ms
worker2_stage1-1    | [Worker 2] HIDDEN sync completed in 34.298ms
worker2_stage1-1    | [Stage1 Group 2] Successfully synced weights
worker2_stage1-1    | [Stage1 Group 2] Processed 27000 images
parameter_server-1  | [Parameter Server] Sent 235200 HIDDEN center weights to worker 2 in 4.020ms
parameter_server-1  | [Parameter Server] Request #106 (HIDDEN) processed in 33.021ms
parameter_server-1  | [Parameter Server] Waiting for worker connection...
parameter_server-1  | [Parameter Server] Worker connected (request #107)
parameter_server-1  | [Parameter Server] Received 3000 OUTPUT weights from worker 1 in 0.012ms
parameter_server-1  | [Parameter Server] Updated OUTPUT elastic center in 0.196ms
worker1_stage2-1    | [Stage2 Group 1] Syncing after 27000 images (sync #27), avg_loss=0.245086
worker1_stage2-1    | [Worker 1] Sent 3000 OUTPUT weights in 0.041ms
worker1_stage2-1    | [Worker 1] Received 3000 OUTPUT center weights in 0.010ms
worker1_stage2-1    | [Worker 1] OUTPUT sync completed in 1.125ms
worker1_stage2-1    | [Stage2 Group 1] Successfully synced weights
worker1_stage2-1    | [Stage2 Group 1] Processed 27000 images
parameter_server-1  | [Parameter Server] Sent 3000 OUTPUT center weights to worker 1 in 0.188ms
parameter_server-1  | [Parameter Server] Request #107 (OUTPUT) processed in 0.773ms
parameter_server-1  | [Parameter Server] Waiting for worker connection...
parameter_server-1  | [Parameter Server] Worker connected (request #108)
parameter_server-1  | [Parameter Server] Received 235200 HIDDEN weights from worker 1 in 3.818ms
parameter_server-1  | [Parameter Server] Updated HIDDEN elastic center in 12.442ms
worker1_stage1-1    | [Stage1 Group 1] Syncing after 27000 images (sync #27)
worker1_stage1-1    | [Worker 1] Sent 235200 HIDDEN weights in 4.584ms
worker1_stage1-1    | [Worker 1] Received 235200 HIDDEN center weights in 2.975ms
worker1_stage1-1    | [Worker 1] HIDDEN sync completed in 25.466ms
worker1_stage1-1    | [Stage1 Group 1] Successfully synced weights
worker1_stage1-1    | [Stage1 Group 1] Processed 27000 images
parameter_server-1  | [Parameter Server] Sent 235200 HIDDEN center weights to worker 1 in 3.636ms
parameter_server-1  | [Parameter Server] Request #108 (HIDDEN) processed in 24.462ms
parameter_server-1  | [Parameter Server] Waiting for worker connection...
parameter_server-1  | [Parameter Server] Worker connected (request #109)
parameter_server-1  | [Parameter Server] Received 3000 OUTPUT weights from worker 2 in 0.032ms
parameter_server-1  | [Parameter Server] Updated OUTPUT elastic center in 0.161ms
parameter_server-1  | [Parameter Server] Sent 3000 OUTPUT center weights to worker 2 in 0.129ms
parameter_server-1  | [Parameter Server] Request #109 (OUTPUT) processed in 0.487ms
parameter_server-1  | [Parameter Server] Waiting for worker connection...
worker2_stage2-1    | [Stage2 Group 2] Syncing after 28000 images (sync #28), avg_loss=0.245153
worker2_stage2-1    | [Worker 2] Sent 3000 OUTPUT weights in 0.072ms
worker2_stage2-1    | [Worker 2] Received 3000 OUTPUT center weights in 0.062ms
worker2_stage2-1    | [Worker 2] OUTPUT sync completed in 0.744ms
worker2_stage2-1    | [Stage2 Group 2] Successfully synced weights
worker2_stage2-1    | [Stage2 Group 2] Processed 28000 images
parameter_server-1  | [Parameter Server] Worker connected (request #110)
parameter_server-1  | [Parameter Server] Received 235200 HIDDEN weights from worker 2 in 2.862ms
parameter_server-1  | [Parameter Server] Updated HIDDEN elastic center in 12.997ms
parameter_server-1  | [Parameter Server] Sent 235200 HIDDEN center weights to worker 2 in 1.309ms
worker2_stage1-1    | [Stage1 Group 2] Syncing after 28000 images (sync #28)
worker2_stage1-1    | [Worker 2] Sent 235200 HIDDEN weights in 2.207ms
worker2_stage1-1    | [Worker 2] Received 235200 HIDDEN center weights in 1.363ms
worker2_stage1-1    | [Worker 2] HIDDEN sync completed in 19.832ms
worker2_stage1-1    | [Stage1 Group 2] Successfully synced weights
worker2_stage1-1    | [Stage1 Group 2] Processed 28000 images
parameter_server-1  | [Parameter Server] Request #110 (HIDDEN) processed in 19.754ms
parameter_server-1  | [Parameter Server] === Processed 110 total requests ===
parameter_server-1  | [Parameter Server] Waiting for worker connection...
parameter_server-1  | [Parameter Server] Worker connected (request #111)
parameter_server-1  | [Parameter Server] Received 3000 OUTPUT weights from worker 1 in 0.013ms
parameter_server-1  | [Parameter Server] Updated OUTPUT elastic center in 0.163ms
parameter_server-1  | [Parameter Server] Sent 3000 OUTPUT center weights to worker 1 in 0.267ms
parameter_server-1  | [Parameter Server] Request #111 (OUTPUT) processed in 0.627ms
parameter_server-1  | [Parameter Server] Waiting for worker connection...
worker1_stage2-1    | [Stage2 Group 1] Syncing after 28000 images (sync #28), avg_loss=0.245880
worker1_stage2-1    | [Worker 1] Sent 3000 OUTPUT weights in 0.089ms
worker1_stage2-1    | [Worker 1] Received 3000 OUTPUT center weights in 0.210ms
worker1_stage2-1    | [Worker 1] OUTPUT sync completed in 1.068ms
worker1_stage2-1    | [Stage2 Group 1] Successfully synced weights
worker1_stage2-1    | [Stage2 Group 1] Processed 28000 images
parameter_server-1  | [Parameter Server] Worker connected (request #112)
parameter_server-1  | [Parameter Server] Received 235200 HIDDEN weights from worker 1 in 4.003ms
parameter_server-1  | [Parameter Server] Updated HIDDEN elastic center in 18.497ms
parameter_server-1  | [Parameter Server] Sent 235200 HIDDEN center weights to worker 1 in 3.188ms
parameter_server-1  | [Parameter Server] Request #112 (HIDDEN) processed in 27.614ms
parameter_server-1  | [Parameter Server] Waiting for worker connection...
worker1_stage1-1    | [Stage1 Group 1] Syncing after 28000 images (sync #28)
worker1_stage1-1    | [Worker 1] Sent 235200 HIDDEN weights in 4.526ms
worker1_stage1-1    | [Worker 1] Received 235200 HIDDEN center weights in 3.111ms
worker1_stage1-1    | [Worker 1] HIDDEN sync completed in 28.399ms
worker1_stage1-1    | [Stage1 Group 1] Successfully synced weights
worker1_stage1-1    | [Stage1 Group 1] Processed 28000 images
parameter_server-1  | [Parameter Server] Worker connected (request #113)
worker2_stage2-1    | [Stage2 Group 2] Syncing after 29000 images (sync #29), avg_loss=0.246582
worker2_stage2-1    | [Worker 2] Sent 3000 OUTPUT weights in 0.097ms
worker2_stage2-1    | [Worker 2] Received 3000 OUTPUT center weights in 0.014ms
worker2_stage2-1    | [Worker 2] OUTPUT sync completed in 1.246ms
worker2_stage2-1    | [Stage2 Group 2] Successfully synced weights
worker2_stage2-1    | [Stage2 Group 2] Processed 29000 images
parameter_server-1  | [Parameter Server] Received 3000 OUTPUT weights from worker 2 in 0.017ms
parameter_server-1  | [Parameter Server] Updated OUTPUT elastic center in 0.155ms
parameter_server-1  | [Parameter Server] Sent 3000 OUTPUT center weights to worker 2 in 0.205ms
parameter_server-1  | [Parameter Server] Request #113 (OUTPUT) processed in 0.564ms
parameter_server-1  | [Parameter Server] Waiting for worker connection...
parameter_server-1  | [Parameter Server] Worker connected (request #114)
parameter_server-1  | [Parameter Server] Received 235200 HIDDEN weights from worker 2 in 3.144ms
parameter_server-1  | [Parameter Server] Updated HIDDEN elastic center in 10.847ms
parameter_server-1  | [Parameter Server] Sent 235200 HIDDEN center weights to worker 2 in 3.229ms
parameter_server-1  | [Parameter Server] Request #114 (HIDDEN) processed in 20.754ms
parameter_server-1  | [Parameter Server] Waiting for worker connection...
worker2_stage1-1    | [Stage1 Group 2] Syncing after 29000 images (sync #29)
worker2_stage1-1    | [Worker 2] Sent 235200 HIDDEN weights in 2.053ms
worker2_stage1-1    | [Worker 2] Received 235200 HIDDEN center weights in 2.898ms
worker2_stage1-1    | [Worker 2] HIDDEN sync completed in 20.629ms
worker2_stage1-1    | [Stage1 Group 2] Successfully synced weights
worker2_stage1-1    | [Stage1 Group 2] Processed 29000 images
parameter_server-1  | [Parameter Server] Worker connected (request #115)
parameter_server-1  | [Parameter Server] Received 3000 OUTPUT weights from worker 1 in 0.198ms
parameter_server-1  | [Parameter Server] Updated OUTPUT elastic center in 0.162ms
parameter_server-1  | [Parameter Server] Sent 3000 OUTPUT center weights to worker 1 in 0.129ms
parameter_server-1  | [Parameter Server] Request #115 (OUTPUT) processed in 0.648ms
parameter_server-1  | [Parameter Server] Waiting for worker connection...
worker1_stage2-1    | [Stage2 Group 1] Syncing after 29000 images (sync #29), avg_loss=0.246017
worker1_stage2-1    | [Worker 1] Sent 3000 OUTPUT weights in 0.175ms
worker1_stage2-1    | [Worker 1] Received 3000 OUTPUT center weights in 0.008ms
worker1_stage2-1    | [Worker 1] OUTPUT sync completed in 0.903ms
worker1_stage2-1    | [Stage2 Group 1] Successfully synced weights
worker1_stage2-1    | [Stage2 Group 1] Processed 29000 images
parameter_server-1  | [Parameter Server] Worker connected (request #116)
parameter_server-1  | [Parameter Server] Received 235200 HIDDEN weights from worker 1 in 2.696ms
parameter_server-1  | [Parameter Server] Updated HIDDEN elastic center in 14.239ms
parameter_server-1  | [Parameter Server] Sent 235200 HIDDEN center weights to worker 1 in 4.439ms
parameter_server-1  | [Parameter Server] Request #116 (HIDDEN) processed in 23.452ms
parameter_server-1  | [Parameter Server] Waiting for worker connection...
worker1_stage1-1    | [Stage1 Group 1] Syncing after 29000 images (sync #29)
worker1_stage1-1    | [Worker 1] Sent 235200 HIDDEN weights in 2.570ms
worker1_stage1-1    | [Worker 1] Received 235200 HIDDEN center weights in 3.458ms
worker1_stage1-1    | [Worker 1] HIDDEN sync completed in 23.979ms
worker1_stage1-1    | [Stage1 Group 1] Successfully synced weights
worker1_stage1-1    | [Stage1 Group 1] Processed 29000 images
parameter_server-1  | [Parameter Server] Worker connected (request #117)
parameter_server-1  | [Parameter Server] Received 3000 OUTPUT weights from worker 2 in 0.045ms
parameter_server-1  | [Parameter Server] Updated OUTPUT elastic center in 0.166ms
parameter_server-1  | [Parameter Server] Sent 3000 OUTPUT center weights to worker 2 in 0.385ms
parameter_server-1  | [Parameter Server] Request #117 (OUTPUT) processed in 0.722ms
parameter_server-1  | [Parameter Server] Waiting for worker connection...
worker2_stage2-1    | [Stage2 Group 2] Syncing after 30000 images (sync #30), avg_loss=0.248298
worker2_stage2-1    | [Worker 2] Sent 3000 OUTPUT weights in 0.055ms
worker2_stage2-1    | [Worker 2] Received 3000 OUTPUT center weights in 0.258ms
worker2_stage2-1    | [Worker 2] OUTPUT sync completed in 0.962ms
worker2_stage2-1    | [Stage2 Group 2] Successfully synced weights
worker2_stage2-1    | [Stage2 Group 2] Completed processing 30k images
worker2_stage2-1    | [Stage2 Group 2] Training completed in 613.92 seconds, total syncs: 30
worker2_stage2-1    | Successfully saved matrix to weights
worker2_stage2-1    | [Worker] Saved stage2 to 'stage2_group_2'
worker2_stage2-1    | [Stage2 Group 2] Final model saved
parameter_server-1  | [Parameter Server] Worker connected (request #118)
parameter_server-1  | [Parameter Server] Received 235200 HIDDEN weights from worker 2 in 2.293ms
parameter_server-1  | [Parameter Server] Updated HIDDEN elastic center in 21.484ms
parameter_server-1  | [Parameter Server] Sent 235200 HIDDEN center weights to worker 2 in 8.436ms
parameter_server-1  | [Parameter Server] Request #118 (HIDDEN) processed in 34.623ms
parameter_server-1  | [Parameter Server] Waiting for worker connection...
worker2_stage1-1    | [Stage1 Group 2] Syncing after 30000 images (sync #30)
worker2_stage1-1    | [Worker 2] Sent 235200 HIDDEN weights in 2.691ms
worker2_stage1-1    | [Worker 2] Received 235200 HIDDEN center weights in 6.804ms
worker2_stage1-1    | [Worker 2] HIDDEN sync completed in 35.525ms
worker2_stage1-1    | [Stage1 Group 2] Successfully synced weights
worker2_stage1-1    | [Stage1 Group 2] Processed 30000 images
worker2_stage1-1    | [Stage1 Group 2] Epoch 1 completed
worker2_stage1-1    | [Stage1 Group 2] Training completed in 605.40 seconds, total syncs: 30
worker2_stage1-1    | Successfully saved matrix to weights
worker2_stage1-1    | [Worker] Saved stage1 to 'stage1_group_2'
worker2_stage1-1    | [Stage1 Group 2] Final model saved
[Kworker2_stage2-1 exited with code 0
parameter_server-1  | [Parameter Server] Worker connected (request #119)
parameter_server-1  | [Parameter Server] Received 3000 OUTPUT weights from worker 1 in 0.029ms
parameter_server-1  | [Parameter Server] Updated OUTPUT elastic center in 0.110ms
worker1_stage2-1    | [Stage2 Group 1] Syncing after 30000 images (sync #30), avg_loss=0.246031
worker1_stage2-1    | [Worker 1] Sent 3000 OUTPUT weights in 0.063ms
worker1_stage2-1    | [Worker 1] Received 3000 OUTPUT center weights in 0.006ms
worker1_stage2-1    | [Worker 1] OUTPUT sync completed in 0.550ms
worker1_stage2-1    | [Stage2 Group 1] Successfully synced weights
parameter_server-1  | [Parameter Server] Sent 3000 OUTPUT center weights to worker 1 in 0.086ms
parameter_server-1  | [Parameter Server] Request #119 (OUTPUT) processed in 0.335ms
parameter_server-1  | [Parameter Server] Waiting for worker connection...
worker1_stage2-1    | [Stage2 Group 1] Completed processing 30k images
worker1_stage2-1    | [Stage2 Group 1] Training completed in 617.12 seconds, total syncs: 30
worker1_stage2-1    | Successfully saved matrix to weights
worker1_stage2-1    | [Worker] Saved stage2 to 'stage2_group_1'
worker1_stage2-1    | [Stage2 Group 1] Final model saved
parameter_server-1  | [Parameter Server] Worker connected (request #120)
parameter_server-1  | [Parameter Server] Received 235200 HIDDEN weights from worker 1 in 1.624ms
parameter_server-1  | [Parameter Server] Updated HIDDEN elastic center in 24.204ms
parameter_server-1  | [Parameter Server] Sent 235200 HIDDEN center weights to worker 1 in 2.189ms
parameter_server-1  | [Parameter Server] Request #120 (HIDDEN) processed in 30.314ms
parameter_server-1  | [Parameter Server] === Processed 120 total requests ===
parameter_server-1  | [Parameter Server] Waiting for worker connection...
worker1_stage1-1    | [Stage1 Group 1] Syncing after 30000 images (sync #30)
worker1_stage1-1    | [Worker 1] Sent 235200 HIDDEN weights in 1.423ms
worker1_stage1-1    | [Worker 1] Received 235200 HIDDEN center weights in 3.039ms
worker1_stage1-1    | [Worker 1] HIDDEN sync completed in 31.697ms
worker1_stage1-1    | [Stage1 Group 1] Successfully synced weights
worker1_stage1-1    | [Stage1 Group 1] Processed 30000 images
worker1_stage1-1    | [Stage1 Group 1] Epoch 1 completed
worker1_stage1-1    | [Stage1 Group 1] Training completed in 604.43 seconds, total syncs: 30
worker1_stage1-1    | Successfully saved matrix to weights
worker1_stage1-1    | [Worker] Saved stage1 to 'stage1_group_1'
